,temperature_celsius,humidity,air_quality_PM2.5,air_quality_PM10
temperature_celsius,1.0,-0.33010954082233795,0.03900904542049072,0.1453076945521185
humidity,-0.33010954082233795,1.0,-0.22741351554728056,-0.3018596118113914
air_quality_PM2.5,0.03900904542049072,-0.22741351554728056,1.0,0.6651376005143554
air_quality_PM10,0.1453076945521185,-0.3018596118113914,0.6651376005143554,1.0
