country,season,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_wind_kph,avg_pressure_mb
Afghanistan,autumn,21.149157706093188,0.01971146953405015,17.722401433691754,6.226433691756273,1012.0910394265233
Afghanistan,spring,20.63845983554712,0.07858760278304867,26.743738140417456,8.809358001265021,1010.316129032258
Afghanistan,summer,30.352743171425036,0.01884779384501292,17.234921517735753,14.45214373995798,1001.3105734767026
Afghanistan,winter,4.625030295272231,0.04607842635261986,44.12619047619048,5.512825994196962,1021.6229860044376
Albania,autumn,19.017186379928315,0.1970376344086021,62.84372759856631,6.657974910394265,1016.9525089605735
Albania,spring,20.445662555344718,0.22296869070208727,52.48584756483238,9.287101518026565,1014.4805977229602
Albania,summer,31.39485230503028,0.0347416882956371,39.02759856630824,13.348723890742798,1012.5045668026202
Albania,winter,9.714164533196792,0.16946693121693115,69.70291005291006,6.719196535244922,1016.0314174773852
Algeria,autumn,21.262240143369173,0.04316666666666663,66.318458781362,10.824086021505378,1017.7939068100359
Algeria,spring,21.42699240986717,0.05044275774826055,56.524320050600885,15.347503162555345,1014.9231815306767
Algeria,summer,29.20474526369688,0.0006989247311827833,53.071492575524836,15.098472862263185,1014.7581285202253
Algeria,winter,12.979865591397848,0.09188009899300216,71.10395118620924,13.678153268475848,1018.8859617682198
Andorra,autumn,9.194175627240144,0.10770609318996416,67.08440860215053,7.84310035842294,1018.7763440860216
Andorra,spring,7.9632210626185955,0.2223685958254269,65.4923624288425,8.879332700822264,1014.1938172043011
Andorra,summer,20.97512915585218,0.10293727598566306,45.20499938202942,9.151316277345199,1017.460839204054
Andorra,winter,-0.5378247141150369,0.13358602150537627,77.01929083461341,7.883565881549752,1017.3876856118791
Angola,autumn,25.492419354838706,0.016344086021505333,75.87060931899642,8.134641577060933,1013.5482078853047
Angola,spring,28.781144845034788,0.037766129032258046,72.47289690069576,10.2946853257432,1011.2082384566729
Angola,summer,24.000027190705723,0.00021684587813618333,72.10537634408603,11.465672969966628,1014.6177048572489
Angola,winter,27.33469875405359,0.05760539341184497,75.90695937873357,8.850025601638505,1011.3897593445981
Antigua and Barbuda,autumn,26.931376220491902,0.15940155728587319,81.19294895562972,20.968900630329998,1012.2415399826968
Antigua and Barbuda,spring,26.24847881087919,0.06101391524351673,78.30641998734978,24.657122074636305,1014.7634092346616
Antigua and Barbuda,summer,28.103119206525772,0.09507114607058986,76.86036424951887,23.90368831329343,1015.7824160884228
Antigua and Barbuda,winter,24.647024236217785,0.1341066308243727,78.65098139614268,26.607800819252432,1014.9750554702168
Argentina,autumn,14.462383512544802,0.12282258064516127,83.68996415770609,10.392903225806451,1015.2745519713261
Argentina,spring,14.194253636938647,0.1203774509803921,85.32681846932321,9.484813409234661,1017.9933270082226
Argentina,summer,9.542576804915514,0.07666308243727596,82.43887608806963,10.437876344086023,1020.1112263184845
Argentina,winter,20.58361537805086,0.03957573818057685,76.89584400068271,11.188798003072195,1011.4986772486773
Armenia,autumn,17.656702508960574,0.024836917562724003,43.85197132616488,7.051738351254481,1018.9974910394266
Armenia,spring,19.495882352941177,0.11071347248576847,35.9623339658444,8.85392789373814,1015.4062776723592
Armenia,summer,31.145988752935363,0.0299783092324805,25.18769620566061,9.202850080336177,1009.7311889754047
Armenia,winter,2.11976147806793,0.03681814302782042,67.84565198839393,4.477462450930193,1021.0021249359958
Australia,autumn,15.557867383512544,0.11418637992831539,56.6089605734767,13.35141577060932,1015.5451612903225
Australia,spring,12.717580645161291,0.033239247311827896,74.50994623655913,9.325779569892473,1022.0481182795698
Australia,summer,6.655405581819306,0.12007518384624889,81.75587458286985,10.344015186627116,1019.4018191509084
Australia,winter,23.05328853046595,0.11531903908516809,52.50639614268647,14.791948711384194,1013.16986260454
Austria,autumn,11.750716845878136,0.10905197132616484,74.23691756272402,13.261917562724014,1018.4471326164875
Austria,spring,14.621495888678053,0.09101976597090446,62.325853889943076,13.677694497153698,1015.4879981024668
Austria,summer,24.97291986687148,0.07531643625192008,52.27337429595494,13.88108166922683,1015.4313236047107
Austria,winter,1.9494866871479777,0.033962408260795336,79.95792370711725,11.6773647380099,1017.5049923195085
Azerbaijan,autumn,20.057474972191326,0.03215949820788528,63.1285996786553,21.73712520084044,1018.2858422939067
Azerbaijan,spring,18.49884092346616,0.0311642947501581,56.277277039848194,24.327765654648957,1016.167504743833
Azerbaijan,summer,29.918333333333333,0.005948770238536599,46.537838338895064,22.960784822642438,1009.787566431838
Azerbaijan,winter,7.931092336576207,0.0524280593958013,75.11522870797064,24.701025345622117,1020.2358977641235
Bahamas,autumn,25.740055617352613,0.14000191570881224,82.0524039055741,21.092830923248055,1014.312637498455
Bahamas,spring,24.28628399746996,0.020668880455407927,77.96821631878558,21.058723908918406,1016.8599936748893
Bahamas,summer,27.986558521814363,0.09253694581280784,80.01488117308473,18.340168794251106,1017.3748702261772
Bahamas,winter,20.667777777777776,0.004267025089605717,80.63864140638334,22.75989417989418,1019.2259643283837
Bahrain,autumn,31.650053763440862,0.0,52.44892473118279,17.287275985663083,1010.9236559139785
Bahrain,spring,31.629070208728656,0.000322580645161275,37.069117647058825,20.322207463630615,1008.7253162555344
Bahrain,summer,37.94630453590409,0.0,42.68231368186874,20.14953899394389,998.2822333456928
Bahrain,winter,20.590147209421403,0.005896057347670216,58.87854582693293,19.571903481822837,1018.7266214371053
Bangladesh,autumn,31.08725806451613,0.29096415770609313,52.706272401433694,10.8421146953405,1006.7926523297491
Bangladesh,spring,34.892277039848196,0.46226850094876665,37.91815306767869,15.049916192283366,1003.3134724857684
Bangladesh,summer,30.97425605169765,0.49578439447710854,69.58198880590426,18.74275433903632,1000.2735949997351
Bangladesh,winter,27.21244538317119,0.0,27.659971838197645,10.727847755589693,1012.6530977982592
