last_updated,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,temp_c_from_f
2024-05,0.5749651857340727,0.5542933613314851,0.011268437608967702,0.6956103046725672,0.6953270063517165,0.0036419983307562605,0.0036230167632014918,0.471404970683676,0.03208959114255596,0.032152608473698864,0.003797426011172979,0.0036933665529309476,0.5898472791178326,0.3703820497271073,0.7254363833426126,0.7250969633360141,0.30722597028502124,0.30627812709457086,0.3119198473140442,0.006316523908515702,0.006298222667624807,0.21536273065850123,0.1262709034467246,0.023814179188809848,0.9510907662056826,0.010938360953351031,0.2386190564222295,0.07822922983626442,0.09453540866518428,0.7878077622801698,0.6953270063517163
2024-06,0.5734431956722658,0.5558008720340255,0.047542007322420185,0.7121017192258143,0.7118319783315981,0.0037669468127055597,0.0037485459721598897,0.4942090350086559,0.03154982100700256,0.031611814637064695,0.00371327251331987,0.0036163251248493198,0.5794695353602092,0.3746650594110556,0.7386336720834159,0.7383045267525549,0.30813888410539003,0.30804926903102425,0.337101087010494,0.006294200171514706,0.006275220412366054,0.21482188042986655,0.13226409924193197,0.021133500122541227,0.9510711170160399,0.010328420709767682,0.23826117132694058,0.07160323747201654,0.08759543080190574,0.4953607714826933,0.711831978331598
2024-07,0.5726942381984395,0.5569545822438969,0.09431580441943513,0.7164613664353968,0.7161930006141493,0.0035258775818172022,0.003507074509141429,0.5083632839034548,0.03133619852063464,0.03140459320878704,0.0038669060475748345,0.0037508931983083744,0.5857775469980143,0.39182942125067194,0.7408556864169611,0.7405293742019327,0.3032823418742161,0.3032469185865578,0.35246668418154053,0.005836222096289636,0.0058168367090938675,0.21370155578397895,0.1364714906332285,0.01880767427245409,0.950835022114935,0.009776754326502197,0.23793690960957614,0.06360867228095324,0.07921718529136554,0.43570865436301737,0.7161930006141493
2024-08,0.572852680289013,0.5566519495335499,0.14304901828238636,0.7163250306247448,0.7160555096038967,0.0035038282304503425,0.0034854876662182795,0.5002619628551878,0.03156534828032109,0.031633140091532445,0.003947821891370279,0.003838679781159377,0.5886835131074761,0.38766253101736975,0.7397397787357053,0.7394106987312812,0.3021153846153846,0.302250663880545,0.3528140175676293,0.005684156638249921,0.005665170428116929,0.21354941028656008,0.13942931653125792,0.0187195519226563,0.9510022249669231,0.008776262661444536,0.23742925177373736,0.062167080231596374,0.08004778972520908,0.4556112489660877,0.7160555096038967
2024-09,0.5724456823087107,0.5568182107271081,0.19037661003553036,0.6952455990177768,0.6949818379024387,0.003274881365199071,0.0032558386914639924,0.47023598870572475,0.032061279017614255,0.03212407206716612,0.003956460739567809,0.003837069589834749,0.6256952576112411,0.39234972677595625,0.7204879566944554,0.7201645863989001,0.3074101349043716,0.3069366551624964,0.3247573669918536,0.005201399911963611,0.005182236237678764,0.21291066313481755,0.14759235165929468,0.02441529048500622,0.95135978024638,0.012874320395118523,0.2400243253367734,0.1237704918032787,0.15040604128718882,0.46063524590163935,0.6949818379024387
2024-10,0.5731993112889073,0.5578231809548557,0.2376067012937774,0.6599415450607679,0.6596630547027957,0.002937534663320922,0.002918426616867953,0.46672604780721644,0.03285406101403932,0.03292317282576688,0.0029772522777609983,0.0028599447624384584,0.6599888128008677,0.4113970099667774,0.6830642265637106,0.6827285575683247,0.30292099252491694,0.30279769190417904,0.2107219289484948,0.00438082262632379,0.004361344168935779,0.21450774129618866,0.11613151363563795,0.04106189329155329,0.9516239776601124,0.01527163467874249,0.24059911906524686,0.15435215946843855,0.18951642672572905,0.44745016611295685,0.6596630547027956
2024-11,0.5732779519292914,0.5581902684065725,0.2851234941502024,0.6230957712335952,0.6228304835214309,0.0029068574483501366,0.0028883201464089798,0.44046960618262776,0.033274212685549365,0.033345944583942806,0.0032139096613374592,0.003116126186023102,0.6727589437012557,0.42089565067904416,0.6436291728981568,0.6432883303156732,0.29524293020457276,0.2938483392597016,0.15295658694475997,0.0045318009804413886,0.004512177617041114,0.21778906641011322,0.1104314702940053,0.050991908577525204,0.9518486300618034,0.019316965138230082,0.24154439135900738,0.19329551315110882,0.254999713483468,0.4726250644662197,0.6228304835214309
2024-12,0.5728522400943453,0.5566530973681812,0.33245985872532174,0.6019227104731393,0.601644022387183,0.0032174496964267,0.003198300666790306,0.45218198700092854,0.03354941548552602,0.0336178981053816,0.0026290353911321653,0.0025202547161350115,0.650824597829206,0.42804466501240696,0.6195144305460281,0.6191808381931134,0.29249741521918937,0.29140220277741496,0.15247098702471748,0.004998969172307056,0.004979367475942476,0.21680032640112173,0.13292580798301623,0.04578840250610484,0.952060022220304,0.02091140648387294,0.24393965852798674,0.20195202646815552,0.2726036209907178,0.4649214226633581,0.6016440223871828
2025-01,0.573548861759388,0.5583080673723133,0.38067435724191345,0.5973762524395435,0.5971108123006857,0.003196314289299607,0.0031777363511381624,0.4552564427216238,0.03350745094309931,0.033572742008854496,0.0029679916043552405,0.0028595902089877997,0.6645820166228329,0.4151998001998002,0.615901542522703,0.6155643766263236,0.28903752497502494,0.2864065758802601,0.16098318859055055,0.004988195061425329,0.004968594391541674,0.21722449624441215,0.13402553344304957,0.04977922747504229,0.952151066006715,0.021944144059573952,0.24385101604273898,0.21528471528471532,0.2957967957967958,0.4795837495837496,0.5971108123006857
2025-02,0.5729286832621227,0.5566443508759565,0.42638940658188734,0.5977808087626392,0.5975171697818027,0.0033077828408428823,0.003288881313495876,0.4431302107180831,0.034067573914225234,0.03413393260978621,0.0026067696619854397,0.0024959651690875653,0.6541233315756209,0.4199010445299615,0.6164052683687108,0.6160744837178938,0.29159050302363937,0.288755147902742,0.18239420072828166,0.0050196821971655115,0.005000152070797838,0.21631473136817578,0.141818713996703,0.045112310675222256,0.9518989778677832,0.02159514142660689,0.24418400905864782,0.21729888216969034,0.2916946633274286,0.5437969580355506,0.5975171697818027
